quart,total_posts,answered,unanswered
"2012-10-01 00:00:00","1","0","1"
"2013-01-01 00:00:00","2","1","1"
"2013-04-01 00:00:00","10","6","4"
"2013-07-01 00:00:00","27","15","12"
"2013-10-01 00:00:00","60","35","25"
"2014-01-01 00:00:00","118","72","46"
"2014-04-01 00:00:00","108","59","49"
"2014-07-01 00:00:00","142","81","61"
"2014-10-01 00:00:00","167","78","89"
"2015-01-01 00:00:00","243","116","127"
"2015-04-01 00:00:00","41","18","23"
